"","m16_24","m25_34","m35_44","m45_54","m55_64","m65_74","f16_24","f25_34","f35_44","f45_54","f55_64","f65_74","NoCar","allCars","X1.1","X1.2","X2","X3","X4","X5","X6","X7","X8","Other"
"50",1148,1403,1348,1091,1047,722,1168,1490,1280,1150,1038,743,3788,9840,176,513,1632,1336,1006,877,1865,2009,1266,2948
"51",816,899,1176,1168,1045,723,838,1041,1182,1226,1083,770,2676,9291,309,728,2305,1669,1051,774,1493,1507,436,1696
"52",844,1001,1262,1221,1123,748,879,998,1223,1179,1082,817,2854,9523,292,694,2325,1620,1108,947,1707,1505,461,1715
"53",1176,1062,1230,1232,974,711,1070,1120,1199,1306,1058,796,4440,8494,188,491,1843,1358,894,952,1845,1795,763,2804
"54",740,765,1198,1207,1202,890,668,766,1264,1209,1254,926,1535,10554,415,1080,2786,1383,1253,840,1391,1167,285,1491
"55",1170,1289,1415,1331,1020,709,1145,1225,1311,1262,1066,791,4193,9541,206,525,1886,1503,1014,1023,1907,2164,942,2565
"56",1369,1252,1260,1130,1019,649,1194,1304,1236,1172,893,686,3727,9437,147,399,1377,1061,1051,672,1527,1700,1519,3710
"57",1315,1652,1468,1029,822,454,1362,1690,1305,1012,739,449,4862,8435,103,323,1120,877,1014,695,1487,2041,1847,3790
"58",1035,1272,1375,1303,1070,628,1033,1318,1365,1346,1029,695,3526,9943,258,738,2559,1531,983,1025,1892,1680,626,2177
"59",1593,1820,1545,1227,907,604,1447,1605,1274,1076,861,648,5419,9188,184,794,1948,1057,985,626,1391,1417,1315,4892
"60",1015,1194,1230,1107,1025,588,978,1192,1208,1107,981,682,2952,9355,201,483,1737,1341,1060,850,1649,1551,943,2491
"61",877,775,1386,1572,1432,905,755,790,1503,1648,1388,906,1853,12084,538,1458,3536,1503,1558,747,1340,1070,309,1880
"62",945,1063,1360,1405,1181,822,960,1151,1422,1456,1207,963,3191,10744,399,1223,2994,1713,1052,847,1587,1240,539,2340
"63",1042,1178,1410,1314,1207,851,976,1182,1481,1362,1267,971,3334,10907,372,755,2519,1703,1182,1100,2111,1808,602,2089
"64",958,939,1326,1458,1329,1077,930,985,1362,1388,1405,1174,2853,11478,397,1005,3032,1939,1250,1023,1704,1462,439,2080
"65",2443,1653,1263,1181,1039,647,2263,1361,1098,1019,970,685,6849,8773,121,509,1604,986,709,692,1453,1465,1054,7028
"66",838,797,1274,1483,1372,1010,751,906,1337,1532,1516,1141,2113,11844,499,1976,3509,1831,1298,560,1209,649,371,2054
"67",1085,1338,1599,1511,1379,937,1078,1529,1579,1723,1469,1053,3129,13151,439,2184,3654,1997,1432,633,1473,821,707,2940
"68",1140,1416,1841,1685,1232,776,1120,1626,1917,1705,1225,851,2576,13958,397,1132,3323,2440,1361,1110,2087,1715,577,2392
"69",1661,2732,2026,1681,1191,691,1673,2417,1694,1514,1067,804,8532,10619,191,891,2668,2075,1142,1335,2802,2840,1516,3691
"70",1255,1951,1616,1488,1077,695,1460,1927,1459,1340,992,737,7580,8417,148,524,1897,1773,951,1078,2438,2338,1399,3452
"71",1171,1655,1506,1371,1135,714,1213,1934,1618,1403,1134,790,5470,10174,242,836,2494,1966,978,1118,2420,2061,882,2647
"72",1753,2195,1907,1521,1153,704,1846,2146,1688,1393,1073,699,10704,7374,91,450,1768,1578,736,1000,2593,2814,1973,5075
"73",1061,1702,1743,1457,1299,861,1025,1929,1697,1561,1370,973,2992,13686,420,1584,3732,2356,1419,1056,1894,1424,515,2277
"74",1490,2376,1751,1374,908,572,1613,2543,1752,1536,1028,710,7306,10347,245,1685,3193,1588,930,727,1775,1382,1441,4688
"75",4918,5487,2118,1299,903,531,5507,4174,1371,996,796,499,16860,11739,256,2297,3394,1842,808,990,2002,1931,1692,13388
"76",1161,1310,1370,1422,1412,956,1170,1469,1462,1521,1482,1191,5058,10868,252,732,2671,2304,1113,1260,2543,1933,672,2448
"77",1363,1761,1685,1673,1299,875,1312,1981,1788,1695,1320,969,5658,12063,281,816,2791,2485,1215,1350,2643,2373,909,2858
"78",1013,889,1336,1409,1247,1114,959,926,1492,1427,1331,1316,2852,11607,342,907,2929,2218,1088,1112,2044,1388,328,2104
"79",1871,2296,1952,1352,931,580,1868,2431,1947,1330,943,654,10123,8032,74,385,1340,1231,1117,895,2361,2119,2715,5918
"80",988,1305,1697,1616,1401,921,997,1443,1772,1619,1498,1017,2510,13764,521,1847,3954,2284,1542,916,1758,1068,328,2054
