"m16_24","m25_34","m35_44","m45_54","m55_64","m65_74","f16_24","f25_34","f35_44","f45_54","f55_64","f65_74"
824,713,997,1152,1104,757,774,776,1084,1150,1062,861
869,850,1072,1155,991,818,933,971,1144,1089,995,859
937,820,999,1082,977,754,902,923,1020,1110,990,803
733,811,1058,1103,996,715,663,908,1098,1107,1094,816
838,797,861,1022,851,618,911,851,862,1015,891,640
890,1000,1245,1184,1022,604,908,1109,1301,1161,965,660
787,852,1237,1166,1069,736,728,979,1249,1136,1106,820
866,995,1249,1195,879,679,857,1056,1247,1099,965,692
759,669,882,1099,1044,789,727,746,993,1183,1047,864
986,1076,1202,1303,1028,795,1011,1097,1231,1247,1051,824
791,927,1159,1246,1004,632,784,981,1189,1229,970,691
966,1386,1219,1007,889,491,1019,1286,1029,974,756,504
845,1426,1401,1287,957,587,907,1169,1062,962,852,559
788,835,1208,1306,1221,871,865,999,1388,1309,1228,899
722,817,885,937,915,644,669,820,867,943,931,698
872,898,1025,1063,899,619,950,1009,1096,1065,852,677
744,645,976,1164,1040,702,703,673,1086,1179,1077,780
1063,1126,1295,1186,1104,801,1008,1133,1323,1255,1135,982
822,1064,1356,1424,1141,710,771,1095,1338,1356,1128,728
1166,1330,1337,1150,999,699,1096,1373,1183,1161,993,764
799,762,1166,1273,1159,817,728,782,1239,1306,1223,851
1252,713,1168,1215,1057,743,1175,734,1228,1225,1085,766
